Время;Давление, атм
14.03.2024 15:20:34:699;0,12
14.03.2024 15:20:34:851;0,12
14.03.2024 15:20:34:929;0,12
14.03.2024 15:20:35:007;0,11
14.03.2024 15:20:35:085;0,12
14.03.2024 15:20:35:398;0,12
14.03.2024 15:20:35:476;0,11
14.03.2024 15:20:35:554;0,12
14.03.2024 15:20:35:710;0,12
14.03.2024 15:20:35:796;0,12
14.03.2024 15:20:35:874;0,12
14.03.2024 15:20:36:028;0,12
14.03.2024 15:20:36:112;0,12
14.03.2024 15:20:36:190;0,12
14.03.2024 15:20:36:269;0,12
14.03.2024 15:20:36:347;0,12
14.03.2024 15:20:36:425;0,12
14.03.2024 15:20:36:503;0,12
14.03.2024 15:20:36:582;0,12
14.03.2024 15:20:36:659;0,12
14.03.2024 15:20:36:737;0,12
14.03.2024 15:20:36:816;0,12
14.03.2024 15:20:36:894;0,12
14.03.2024 15:20:37:050;0,12
14.03.2024 15:20:37:128;0,12
14.03.2024 15:20:37:206;0,12
14.03.2024 15:20:37:285;0,12
14.03.2024 15:20:37:363;0,12
14.03.2024 15:20:37:441;0,12
14.03.2024 15:20:37:519;0,12
14.03.2024 15:20:37:674;0,12
14.03.2024 15:20:37:828;0,13
14.03.2024 15:20:37:915;0,12
14.03.2024 15:20:37:994;0,12
14.03.2024 15:20:38:072;0,12
14.03.2024 15:20:38:150;0,12
14.03.2024 15:20:38:228;0,12
14.03.2024 15:20:38:306;0,12
14.03.2024 15:20:38:384;0,11
14.03.2024 15:20:38:463;0,12
14.03.2024 15:20:38:541;0,11
14.03.2024 15:20:38:619;0,12
14.03.2024 15:20:38:853;0,12
14.03.2024 15:20:38:932;0,12
14.03.2024 15:20:39:010;0,12
14.03.2024 15:20:39:088;0,12
14.03.2024 15:20:39:166;0,12
14.03.2024 15:20:39:244;0,11
14.03.2024 15:20:39:322;0,12
14.03.2024 15:20:39:713;0,12
14.03.2024 15:20:39:791;0,12
14.03.2024 15:20:39:869;0,12
14.03.2024 15:20:39:947;0,12
14.03.2024 15:20:40:025;0,12
14.03.2024 15:20:40:104;0,12
14.03.2024 15:20:40:260;0,12
14.03.2024 15:20:40:338;0,12
14.03.2024 15:20:40:495;0,12
14.03.2024 15:20:40:573;0,12
14.03.2024 15:20:40:651;0,12
14.03.2024 15:20:40:729;0,11
14.03.2024 15:20:40:807;0,12
14.03.2024 15:20:41:198;0,12
14.03.2024 15:20:41:276;0,12
14.03.2024 15:20:41:354;0,12
14.03.2024 15:20:41:433;0,12
14.03.2024 15:20:41:511;0,12
14.03.2024 15:20:41:667;0,12
14.03.2024 15:20:41:745;0,12
14.03.2024 15:20:41:823;0,12
14.03.2024 15:20:41:901;0,12
14.03.2024 15:20:41:980;0,12
14.03.2024 15:20:42:058;0,12
14.03.2024 15:20:42:214;0,12
14.03.2024 15:20:42:292;0,12
14.03.2024 15:20:42:370;0,12
14.03.2024 15:20:42:448;0,12
14.03.2024 15:20:42:683;0,12
14.03.2024 15:20:42:761;0,13
14.03.2024 15:20:42:839;0,12
14.03.2024 15:20:42:933;0,12
14.03.2024 15:20:43:011;0,12
14.03.2024 15:20:43:089;0,12
14.03.2024 15:20:43:167;0,12
14.03.2024 15:20:43:245;0,12
14.03.2024 15:20:43:324;0,12
14.03.2024 15:20:43:480;0,12
14.03.2024 15:20:43:558;0,12
14.03.2024 15:20:43:636;0,12
14.03.2024 15:20:43:714;0,12
14.03.2024 15:20:43:793;0,12
14.03.2024 15:20:43:870;0,12
14.03.2024 15:20:43:949;0,12
14.03.2024 15:20:44:027;0,12
14.03.2024 15:20:44:105;0,12
14.03.2024 15:20:44:183;0,11
14.03.2024 15:20:44:261;0,12
14.03.2024 15:20:44:339;0,12
14.03.2024 15:20:44:417;0,11
14.03.2024 15:20:44:496;0,11
14.03.2024 15:20:44:574;0,12
14.03.2024 15:20:44:730;0,12
14.03.2024 15:20:44:808;0,12
14.03.2024 15:20:44:886;0,12
14.03.2024 15:20:45:121;0,12
14.03.2024 15:20:45:199;0,12
14.03.2024 15:20:45:277;0,12
14.03.2024 15:20:45:512;0,12
14.03.2024 15:20:45:590;0,11
14.03.2024 15:20:45:668;0,12
14.03.2024 15:20:45:746;0,12
14.03.2024 15:20:45:824;0,12
14.03.2024 15:20:45:981;0,12
14.03.2024 15:20:46:074;0,11
14.03.2024 15:20:46:152;0,12
14.03.2024 15:20:46:309;0,12
14.03.2024 15:20:46:387;0,12
14.03.2024 15:20:46:465;0,12
14.03.2024 15:20:46:543;0,11
14.03.2024 15:20:46:621;0,12
14.03.2024 15:20:46:856;0,12
14.03.2024 15:20:46:950;0,11
14.03.2024 15:20:47:028;0,12
14.03.2024 15:20:47:106;0,12
14.03.2024 15:20:47:341;0,12
14.03.2024 15:20:47:419;0,12
14.03.2024 15:20:47:497;0,12
14.03.2024 15:20:47:575;0,12
14.03.2024 15:20:47:653;0,12
14.03.2024 15:20:47:731;0,12
14.03.2024 15:20:48:434;0,12
14.03.2024 15:20:48:513;0,12
14.03.2024 15:20:48:591;0,12
14.03.2024 15:20:48:669;0,12
14.03.2024 15:20:48:747;0,12
14.03.2024 15:20:48:825;0,11
14.03.2024 15:20:48:982;0,11
14.03.2024 15:20:49:060;0,12
14.03.2024 15:20:49:137;0,12
14.03.2024 15:20:49:216;0,12
14.03.2024 15:20:49:294;0,12
14.03.2024 15:20:49:372;0,12
14.03.2024 15:20:49:529;0,12
14.03.2024 15:20:49:607;0,12
14.03.2024 15:20:49:685;0,12
14.03.2024 15:20:49:763;0,12
14.03.2024 15:20:49:919;0,12
14.03.2024 15:20:49:997;0,12
14.03.2024 15:20:50:076;0,12
14.03.2024 15:20:50:232;0,12
14.03.2024 15:20:50:310;0,11
14.03.2024 15:20:50:467;0,11
14.03.2024 15:20:50:545;0,12
14.03.2024 15:20:50:700;0,12
14.03.2024 15:20:50:779;0,12
14.03.2024 15:20:50:857;0,12
14.03.2024 15:20:51:169;0,12
14.03.2024 15:20:51:248;0,11
14.03.2024 15:20:51:326;0,12
14.03.2024 15:20:51:561;0,12
14.03.2024 15:20:51:639;0,12
14.03.2024 15:20:51:732;0,12
14.03.2024 15:20:51:810;0,12
14.03.2024 15:20:51:889;0,12
14.03.2024 15:20:51:967;0,12
14.03.2024 15:20:52:045;0,12
14.03.2024 15:20:52:123;0,12
14.03.2024 15:20:52:279;0,12
14.03.2024 15:20:52:357;0,12
14.03.2024 15:20:52:435;0,12
14.03.2024 15:20:52:514;0,12
14.03.2024 15:20:52:748;0,12
14.03.2024 15:20:52:826;0,11
14.03.2024 15:20:52:905;0,12
14.03.2024 15:20:52:983;0,11
14.03.2024 15:20:53:061;0,12
14.03.2024 15:20:53:139;0,11
14.03.2024 15:20:53:217;0,12
14.03.2024 15:20:53:295;0,12
14.03.2024 15:20:53:373;0,12
14.03.2024 15:20:53:545;0,12
14.03.2024 15:20:53:624;0,12
14.03.2024 15:20:53:702;0,11
14.03.2024 15:20:53:780;0,12
14.03.2024 15:20:53:858;0,12
14.03.2024 15:20:53:936;0,11
14.03.2024 15:20:54:015;0,12
14.03.2024 15:20:54:108;0,12
14.03.2024 15:20:54:186;0,11
14.03.2024 15:20:54:264;0,11
14.03.2024 15:20:54:342;0,12
14.03.2024 15:20:54:655;0,12
14.03.2024 15:20:54:733;0,12
14.03.2024 15:20:54:811;0,12
14.03.2024 15:20:54:890;0,12
14.03.2024 15:20:54:967;0,12
14.03.2024 15:20:55:046;0,12
14.03.2024 15:20:55:124;0,12
14.03.2024 15:20:55:202;0,11
14.03.2024 15:20:55:280;0,12
14.03.2024 15:20:55:358;0,12
14.03.2024 15:20:55:436;0,11
14.03.2024 15:20:55:514;0,11
14.03.2024 15:20:55:593;0,12
14.03.2024 15:20:55:671;0,11
14.03.2024 15:20:55:749;0,12
14.03.2024 15:20:55:827;0,11
14.03.2024 15:20:55:905;0,11
14.03.2024 15:20:55:984;0,12
14.03.2024 15:20:56:062;0,12
14.03.2024 15:20:56:140;0,12
14.03.2024 15:20:56:218;0,11
14.03.2024 15:20:56:296;0,12
14.03.2024 15:20:56:374;0,12
14.03.2024 15:20:56:452;0,11
14.03.2024 15:20:56:530;0,12
14.03.2024 15:20:56:609;0,12
14.03.2024 15:20:56:687;0,12
14.03.2024 15:20:56:781;0,12
14.03.2024 15:20:56:859;0,12
14.03.2024 15:20:57:031;0,12
14.03.2024 15:20:57:109;0,12
14.03.2024 15:20:57:187;0,12
14.03.2024 15:20:57:265;0,12
14.03.2024 15:20:57:343;0,12
14.03.2024 15:20:57:421;0,11
14.03.2024 15:20:57:500;0,12
14.03.2024 15:20:57:594;0,12
14.03.2024 15:20:57:672;0,12
14.03.2024 15:20:57:828;0,12
14.03.2024 15:20:57:906;0,12
14.03.2024 15:20:57:984;0,12
14.03.2024 15:20:58:062;0,12
14.03.2024 15:20:58:141;0,12
14.03.2024 15:20:58:218;0,12
14.03.2024 15:20:58:297;0,12
14.03.2024 15:20:58:375;0,12
14.03.2024 15:20:58:453;0,12
14.03.2024 15:20:58:532;0,12
14.03.2024 15:20:58:688;0,12
14.03.2024 15:20:58:766;0,12
14.03.2024 15:20:58:844;0,12
14.03.2024 15:20:58:922;0,12
14.03.2024 15:20:59:000;0,12
14.03.2024 15:20:59:078;0,12
14.03.2024 15:20:59:156;0,12
14.03.2024 15:20:59:234;0,12
14.03.2024 15:20:59:312;0,12
14.03.2024 15:20:59:391;0,12
14.03.2024 15:20:59:469;0,12
14.03.2024 15:20:59:547;0,12
14.03.2024 15:20:59:625;0,12
14.03.2024 15:20:59:859;0,12
14.03.2024 15:20:59:938;0,12
14.03.2024 15:21:00:016;0,12
14.03.2024 15:21:00:094;0,12
14.03.2024 15:21:00:172;0,12
14.03.2024 15:21:00:250;0,12
14.03.2024 15:21:00:328;0,11
14.03.2024 15:21:00:406;0,12
14.03.2024 15:21:00:563;0,12
14.03.2024 15:21:00:641;0,13
14.03.2024 15:21:00:719;0,12
14.03.2024 15:21:00:798;0,12
14.03.2024 15:21:01:282;0,12
14.03.2024 15:21:01:360;0,13
14.03.2024 15:21:01:438;0,12
14.03.2024 15:21:01:517;0,11
14.03.2024 15:21:01:610;0,12
14.03.2024 15:21:01:688;0,12
14.03.2024 15:21:01:767;0,12
14.03.2024 15:21:01:845;0,13
14.03.2024 15:21:01:923;0,12
14.03.2024 15:21:02:001;0,12
14.03.2024 15:21:02:079;0,12
14.03.2024 15:21:02:157;0,12
14.03.2024 15:21:02:235;0,12
14.03.2024 15:21:02:391;0,12
14.03.2024 15:21:02:470;0,12
14.03.2024 15:21:02:548;0,12
14.03.2024 15:21:02:626;0,12
14.03.2024 15:21:02:704;0,12
14.03.2024 15:21:02:782;0,12
14.03.2024 15:21:02:861;0,12
14.03.2024 15:21:02:938;0,12
14.03.2024 15:21:03:017;0,12
14.03.2024 15:21:03:095;0,11
14.03.2024 15:21:03:173;0,12
14.03.2024 15:21:03:485;0,12
14.03.2024 15:21:03:564;0,11
14.03.2024 15:21:03:642;0,12
14.03.2024 15:21:04:033;0,12
14.03.2024 15:21:04:111;0,12
14.03.2024 15:21:04:189;0,12
14.03.2024 15:21:04:267;0,11
14.03.2024 15:21:04:345;0,12
14.03.2024 15:21:04:423;0,11
14.03.2024 15:21:04:501;0,12
14.03.2024 15:21:04:580;0,12
14.03.2024 15:21:04:658;0,12
14.03.2024 15:21:04:814;0,12
14.03.2024 15:21:04:893;0,12
14.03.2024 15:21:04:971;0,12
14.03.2024 15:21:05:049;0,12
14.03.2024 15:21:05:127;0,13
14.03.2024 15:21:05:205;0,12
14.03.2024 15:21:05:283;0,11
14.03.2024 15:21:05:361;0,11
14.03.2024 15:21:05:439;0,12
14.03.2024 15:21:05:517;0,12
14.03.2024 15:21:05:596;0,12
14.03.2024 15:21:05:674;0,11
14.03.2024 15:21:05:752;0,12
14.03.2024 15:21:05:830;0,11
14.03.2024 15:21:05:908;0,12
14.03.2024 15:21:05:987;0,12
14.03.2024 15:21:06:065;0,11
14.03.2024 15:21:06:143;0,12
14.03.2024 15:21:06:221;0,12
14.03.2024 15:21:06:299;0,12
14.03.2024 15:21:06:377;0,11
14.03.2024 15:21:06:455;0,12
14.03.2024 15:21:06:611;0,12
14.03.2024 15:21:06:690;0,11
14.03.2024 15:21:06:768;0,12
14.03.2024 15:21:06:846;0,12
14.03.2024 15:21:06:924;0,11
14.03.2024 15:21:07:003;0,12
14.03.2024 15:21:07:081;0,11
14.03.2024 15:21:07:158;0,12
14.03.2024 15:21:07:393;0,12
14.03.2024 15:21:07:471;0,11
14.03.2024 15:21:07:550;0,12
14.03.2024 15:21:07:628;0,11
14.03.2024 15:21:07:706;0,12
14.03.2024 15:21:07:784;0,11
14.03.2024 15:21:07:862;0,12
14.03.2024 15:21:08:174;0,12
14.03.2024 15:21:08:253;0,12
14.03.2024 15:21:08:331;0,12
14.03.2024 15:21:08:409;0,12
14.03.2024 15:21:08:487;0,13
14.03.2024 15:21:08:565;0,12
14.03.2024 15:21:08:878;0,12
14.03.2024 15:21:08:956;0,11
14.03.2024 15:21:09:034;0,12
14.03.2024 15:21:09:113;0,12
14.03.2024 15:21:09:190;0,12
14.03.2024 15:21:09:268;0,11
14.03.2024 15:21:09:347;0,11
14.03.2024 15:21:09:425;0,12
14.03.2024 15:21:09:503;0,12
14.03.2024 15:21:09:581;0,12
14.03.2024 15:21:09:660;0,12
14.03.2024 15:21:09:737;0,12
14.03.2024 15:21:09:831;0,12
14.03.2024 15:21:09:910;0,12
14.03.2024 15:21:09:987;0,12
14.03.2024 15:21:10:066;0,12
14.03.2024 15:21:10:144;0,12
14.03.2024 15:21:10:222;0,12
14.03.2024 15:21:10:300;0,12
14.03.2024 15:21:10:535;0,12
14.03.2024 15:21:10:613;0,12
14.03.2024 15:21:11:238;0,12
14.03.2024 15:21:11:316;0,12
14.03.2024 15:21:11:394;0,12
14.03.2024 15:21:11:551;0,12
14.03.2024 15:21:11:629;0,12
14.03.2024 15:21:11:707;0,12
14.03.2024 15:21:11:879;0,12
14.03.2024 15:21:11:957;0,12
14.03.2024 15:21:12:035;0,12
14.03.2024 15:21:12:114;0,12
14.03.2024 15:21:12:191;0,12
14.03.2024 15:21:12:269;0,12
14.03.2024 15:21:12:973;0,12
14.03.2024 15:21:13:051;0,12
14.03.2024 15:21:13:129;0,12
14.03.2024 15:21:13:207;0,12
14.03.2024 15:21:13:285;0,12
14.03.2024 15:21:13:754;0,12
14.03.2024 15:21:13:833;0,12
14.03.2024 15:21:13:911;0,12
14.03.2024 15:21:13:989;0,11
14.03.2024 15:21:14:067;0,12
14.03.2024 15:21:14:145;0,11
14.03.2024 15:21:14:223;0,12
14.03.2024 15:21:14:379;0,12
14.03.2024 15:21:14:458;0,12
14.03.2024 15:21:14:536;0,11
14.03.2024 15:21:14:614;0,12
14.03.2024 15:21:14:849;0,12
14.03.2024 15:21:14:927;0,12
14.03.2024 15:21:15:005;0,12
14.03.2024 15:21:15:099;0,11
14.03.2024 15:21:15:176;0,12
14.03.2024 15:21:15:255;0,11
14.03.2024 15:21:15:333;0,12
14.03.2024 15:21:15:724;0,12
14.03.2024 15:21:15:802;0,12
14.03.2024 15:21:15:958;0,12
14.03.2024 15:21:16:036;0,12
14.03.2024 15:21:16:115;0,12
14.03.2024 15:21:16:192;0,12
14.03.2024 15:21:16:271;0,12
14.03.2024 15:21:16:349;0,12
14.03.2024 15:21:16:427;0,12
14.03.2024 15:21:16:505;0,12
14.03.2024 15:21:16:584;0,12
14.03.2024 15:21:16:662;0,12
14.03.2024 15:21:16:740;0,12
14.03.2024 15:21:16:818;0,12
14.03.2024 15:21:16:896;0,12
14.03.2024 15:21:16:974;0,12
14.03.2024 15:21:17:052;0,12
14.03.2024 15:21:17:130;0,12
14.03.2024 15:21:17:208;0,12
14.03.2024 15:21:17:286;0,12
14.03.2024 15:21:17:365;0,12
14.03.2024 15:21:17:443;0,13
14.03.2024 15:21:17:521;0,12
14.03.2024 15:21:17:599;0,12
14.03.2024 15:21:17:678;0,13
14.03.2024 15:21:17:756;0,12
14.03.2024 15:21:18:709;0,12
14.03.2024 15:21:18:803;0,13
14.03.2024 15:21:18:881;0,12
14.03.2024 15:21:19:116;0,12
14.03.2024 15:21:19:209;0,12
14.03.2024 15:21:19:443;0,12
14.03.2024 15:21:19:522;0,12
14.03.2024 15:21:19:756;0,12
14.03.2024 15:21:19:834;0,12
14.03.2024 15:21:19:990;0,12
14.03.2024 15:21:20:069;0,12
14.03.2024 15:21:20:147;0,12
14.03.2024 15:21:20:225;0,11
14.03.2024 15:21:20:303;0,11
14.03.2024 15:21:20:382;0,12
14.03.2024 15:21:20:459;0,12
14.03.2024 15:21:20:537;0,12
14.03.2024 15:21:20:616;0,12
14.03.2024 15:21:20:694;0,12
14.03.2024 15:21:20:772;0,12
14.03.2024 15:21:20:850;0,12
14.03.2024 15:21:21:413;0,12
14.03.2024 15:21:21:491;0,13
14.03.2024 15:21:21:569;0,12
14.03.2024 15:21:21:960;0,12
14.03.2024 15:21:22:038;0,13
14.03.2024 15:21:22:117;0,12
14.03.2024 15:21:22:210;0,12
14.03.2024 15:21:22:523;0,12
14.03.2024 15:21:22:601;0,13
14.03.2024 15:21:22:679;0,12
14.03.2024 15:21:22:992;0,12
14.03.2024 15:21:23:069;0,13
14.03.2024 15:21:23:148;0,13
14.03.2024 15:21:23:226;0,12
14.03.2024 15:21:23:382;0,12
14.03.2024 15:21:23:460;0,13
14.03.2024 15:21:23:554;0,12
14.03.2024 15:21:23:634;0,13
14.03.2024 15:21:23:726;0,12
14.03.2024 15:21:23:804;0,12
14.03.2024 15:21:23:882;0,13
14.03.2024 15:21:23:961;0,12
14.03.2024 15:21:24:038;0,12
14.03.2024 15:21:24:117;0,13
14.03.2024 15:21:24:195;0,12
14.03.2024 15:21:24:585;0,12
14.03.2024 15:21:24:664;0,13
14.03.2024 15:21:24:742;0,13
14.03.2024 15:21:24:820;0,12
14.03.2024 15:21:24:977;0,12
14.03.2024 15:21:25:055;0,13
14.03.2024 15:21:25:133;0,12
14.03.2024 15:21:25:211;0,12
14.03.2024 15:21:25:289;0,13
14.03.2024 15:21:25:367;0,12
14.03.2024 15:21:25:445;0,13
14.03.2024 15:21:25:524;0,12
14.03.2024 15:21:25:601;0,13
14.03.2024 15:21:25:680;0,12
14.03.2024 15:21:25:758;0,13
14.03.2024 15:21:25:836;0,12
14.03.2024 15:21:26:070;0,12
14.03.2024 15:21:26:149;0,13
14.03.2024 15:21:26:227;0,12
14.03.2024 15:21:26:305;0,13
14.03.2024 15:21:26:383;0,12
14.03.2024 15:21:26:461;0,13
14.03.2024 15:21:26:539;0,12
14.03.2024 15:21:26:774;0,12
14.03.2024 15:21:26:852;0,13
14.03.2024 15:21:26:930;0,12
14.03.2024 15:21:27:008;0,12
14.03.2024 15:21:27:086;0,12
14.03.2024 15:21:27:164;0,12
14.03.2024 15:21:27:243;0,13
14.03.2024 15:21:27:399;0,13
14.03.2024 15:21:27:477;0,12
14.03.2024 15:21:27:962;0,12
14.03.2024 15:21:28:040;0,12
14.03.2024 15:21:28:118;0,12
14.03.2024 15:21:28:274;0,12
14.03.2024 15:21:28:352;0,13
14.03.2024 15:21:28:431;0,13
14.03.2024 15:21:28:509;0,12
14.03.2024 15:21:28:587;0,12
14.03.2024 15:21:28:665;0,13
14.03.2024 15:21:28:743;0,12
14.03.2024 15:21:28:821;0,13
14.03.2024 15:21:28:900;0,12
14.03.2024 15:21:28:978;0,13
14.03.2024 15:21:29:056;0,13
14.03.2024 15:21:29:134;0,12
14.03.2024 15:21:29:212;0,13
14.03.2024 15:21:29:290;0,13
14.03.2024 15:21:29:368;0,13
14.03.2024 15:21:29:446;0,16
14.03.2024 15:21:29:525;0,21
14.03.2024 15:21:29:603;0,29
14.03.2024 15:21:29:681;0,36
14.03.2024 15:21:29:759;0,42
14.03.2024 15:21:29:837;0,49
14.03.2024 15:21:29:916;0,57
14.03.2024 15:21:29:994;0,64
14.03.2024 15:21:30:072;0,72
14.03.2024 15:21:30:150;0,77
14.03.2024 15:21:30:228;0,85
14.03.2024 15:21:30:306;0,91
14.03.2024 15:21:30:384;0,98
14.03.2024 15:21:30:462;1,04
14.03.2024 15:21:30:541;1,08
14.03.2024 15:21:30:619;1,07
14.03.2024 15:21:30:697;1,04
14.03.2024 15:21:30:775;1,03
14.03.2024 15:21:30:853;1,04
14.03.2024 15:21:30:931;1,04
14.03.2024 15:21:31:010;1,04
14.03.2024 15:21:31:088;1,04
14.03.2024 15:21:31:400;1,04
14.03.2024 15:21:31:479;1,03
14.03.2024 15:21:31:556;1,04
14.03.2024 15:21:31:635;1,03
14.03.2024 15:21:31:713;1,04
14.03.2024 15:21:31:791;1,03
14.03.2024 15:21:31:869;1,03
14.03.2024 15:21:31:963;1,03
14.03.2024 15:21:32:041;1,03
14.03.2024 15:21:32:135;1,03
14.03.2024 15:21:32:291;1,03
14.03.2024 15:21:32:369;1,04
14.03.2024 15:21:32:447;1,03
14.03.2024 15:21:32:604;1,03
14.03.2024 15:21:32:682;1,03
14.03.2024 15:21:32:995;1,03
14.03.2024 15:21:33:072;1,03
14.03.2024 15:21:33:541;1,03
14.03.2024 15:21:33:619;1,02
14.03.2024 15:21:33:698;1,03
14.03.2024 15:21:34:011;1,03
14.03.2024 15:21:34:088;1,03
14.03.2024 15:21:34:167;1,02
14.03.2024 15:21:34:558;1,02
14.03.2024 15:21:34:636;1,03
14.03.2024 15:21:34:714;1,01
14.03.2024 15:21:34:792;1,02
14.03.2024 15:21:35:026;1,02
14.03.2024 15:21:35:104;1,01
14.03.2024 15:21:35:182;1,01
14.03.2024 15:21:35:261;1,01
14.03.2024 15:21:35:339;1,01
14.03.2024 15:21:35:417;1,03
14.03.2024 15:21:35:495;1,02
14.03.2024 15:21:35:573;1,01
14.03.2024 15:21:35:652;1,02
14.03.2024 15:21:35:730;1,02
14.03.2024 15:21:35:808;1,01
14.03.2024 15:21:35:886;1,01
14.03.2024 15:21:35:964;1,01
14.03.2024 15:21:36:042;1,01
14.03.2024 15:21:36:121;1,01
14.03.2024 15:21:36:198;1,01
14.03.2024 15:21:36:276;1,01
14.03.2024 15:21:36:511;1,01
14.03.2024 15:21:36:589;1,01
14.03.2024 15:21:36:668;1,01
14.03.2024 15:21:36:761;1,01
14.03.2024 15:21:36:839;1,01
14.03.2024 15:21:36:918;1,01
14.03.2024 15:21:36:996;1,01
14.03.2024 15:21:37:074;1
14.03.2024 15:21:37:152;1
14.03.2024 15:21:37:246;1
14.03.2024 15:21:37:324;1
14.03.2024 15:21:37:402;1
14.03.2024 15:21:37:480;1
14.03.2024 15:21:37:636;1
14.03.2024 15:21:37:730;1,01
14.03.2024 15:21:37:809;1
14.03.2024 15:21:37:886;1,01
14.03.2024 15:21:37:965;1
14.03.2024 15:21:38:043;1
14.03.2024 15:21:38:121;1
14.03.2024 15:21:38:199;1
14.03.2024 15:21:38:277;1
14.03.2024 15:21:38:355;1
14.03.2024 15:21:38:433;1
14.03.2024 15:21:38:512;1
14.03.2024 15:21:38:746;1
14.03.2024 15:21:38:824;0,99
14.03.2024 15:21:38:902;1
14.03.2024 15:21:39:137;1
14.03.2024 15:21:39:215;0,99
14.03.2024 15:21:39:528;0,99
14.03.2024 15:21:39:606;1
14.03.2024 15:21:39:684;0,99
14.03.2024 15:21:39:762;0,99
14.03.2024 15:21:39:840;0,98
14.03.2024 15:21:39:919;1
14.03.2024 15:21:39:996;1
14.03.2024 15:21:40:153;0,99
14.03.2024 15:21:40:465;0,99
14.03.2024 15:21:40:543;0,98
14.03.2024 15:21:40:622;0,99
14.03.2024 15:21:40:700;0,99
14.03.2024 15:21:40:778;0,98
14.03.2024 15:21:40:856;0,98
14.03.2024 15:21:40:934;0,98
14.03.2024 15:21:41:013;0,99
14.03.2024 15:21:41:169;0,98
14.03.2024 15:21:41:481;0,98
14.03.2024 15:21:41:560;0,98
14.03.2024 15:21:41:637;0,98
14.03.2024 15:21:41:716;0,98
14.03.2024 15:21:41:794;0,98
14.03.2024 15:21:41:872;0,98
14.03.2024 15:21:41:950;0,98
14.03.2024 15:21:42:029;0,98
14.03.2024 15:21:42:106;0,98
14.03.2024 15:21:42:184;0,98
14.03.2024 15:21:42:263;0,98
14.03.2024 15:21:42:341;0,97
14.03.2024 15:21:42:497;0,97
14.03.2024 15:21:42:576;0,98
14.03.2024 15:21:42:653;0,97
14.03.2024 15:21:42:732;0,97
14.03.2024 15:21:42:810;0,98
14.03.2024 15:21:42:966;0,98
14.03.2024 15:21:43:044;0,97
14.03.2024 15:21:43:123;0,97
14.03.2024 15:21:44:232;0,97
14.03.2024 15:21:44:310;0,96
14.03.2024 15:21:44:388;0,96
14.03.2024 15:21:44:467;0,97
14.03.2024 15:21:44:545;0,97
14.03.2024 15:21:44:623;0,96
14.03.2024 15:21:44:701;0,97
14.03.2024 15:21:44:779;0,96
14.03.2024 15:21:44:936;0,96
14.03.2024 15:21:45:014;0,96
14.03.2024 15:21:45:170;0,96
14.03.2024 15:21:45:248;0,96
14.03.2024 15:21:45:326;0,96
14.03.2024 15:21:45:404;0,96
14.03.2024 15:21:45:560;0,96
14.03.2024 15:21:45:639;0,96
14.03.2024 15:21:45:717;0,96
14.03.2024 15:21:45:795;0,96
