Дата Время;давление
14.03.2024 21:02:01:899;2,09
14.03.2024 21:02:01:977;2,07
14.03.2024 21:02:02:055;2,04
14.03.2024 21:02:02:134;2,03
14.03.2024 21:02:02:212;2,02
14.03.2024 21:02:02:290;2,00
14.03.2024 21:02:02:368;1,99
14.03.2024 21:02:02:446;1,98
14.03.2024 21:02:02:524;1,97
14.03.2024 21:02:02:603;1,95
14.03.2024 21:02:02:680;1,94
14.03.2024 21:02:02:758;1,92
14.03.2024 21:02:02:837;1,90
14.03.2024 21:02:02:915;1,89
14.03.2024 21:02:02:993;1,88
14.03.2024 21:02:03:071;1,87
14.03.2024 21:02:03:165;1,85
14.03.2024 21:02:03:243;1,84
14.03.2024 21:02:03:321;1,84
14.03.2024 21:02:03:400;1,84
14.03.2024 21:02:03:477;1,82
14.03.2024 21:02:03:556;1,80
14.03.2024 21:02:03:634;1,77
14.03.2024 21:02:03:712;1,74
14.03.2024 21:02:03:790;1,73
14.03.2024 21:02:03:868;1,71
14.03.2024 21:02:03:947;1,70
14.03.2024 21:02:04:024;1,69
14.03.2024 21:02:04:103;1,69
14.03.2024 21:02:04:181;1,68
14.03.2024 21:02:05:135;1,68
14.03.2024 21:02:05:213;1,67
14.03.2024 21:02:05:291;1,68
14.03.2024 21:02:05:369;1,67
14.03.2024 21:02:05:447;1,68
14.03.2024 21:02:05:994;1,68
14.03.2024 21:02:06:072;1,67
14.03.2024 21:02:06:150;1,68
14.03.2024 21:02:06:385;1,68
14.03.2024 21:02:06:463;1,68
14.03.2024 21:02:06:775;1,68
14.03.2024 21:02:06:853;1,67
