Время;Давление, атм;;;Давление, атм
14.03.2024 16:55:52:712;18,66;;;18,66
14.03.2024 16:55:52:790;18,66;;;18,66
14.03.2024 16:55:52:943;18,66;;;18,66
14.03.2024 16:55:53:019;18,65;;;18,65
14.03.2024 16:55:53:098;18,65;;;18,65
14.03.2024 16:55:53:175;18,64;;;18,64
14.03.2024 16:55:53:252;18,64;;;18,64
14.03.2024 16:55:53:329;18,63;;;18,63
14.03.2024 16:55:53:406;18,63;;;18,63
14.03.2024 16:55:53:484;18,63;;;18,63
14.03.2024 16:55:53:562;18,62;;;18,62
14.03.2024 16:55:53:639;18,63;;;18,63
14.03.2024 16:55:53:717;18,62;;;18,62
14.03.2024 16:55:53:794;18,62;;;18,62
14.03.2024 16:55:53:874;18,62;;;18,62
14.03.2024 16:55:53:954;18,61;;;18,61
14.03.2024 16:55:54:034;18,6;;;18,6
14.03.2024 16:55:54:192;18,6;;;18,6
14.03.2024 16:55:54:272;18,59;;;18,59
14.03.2024 16:55:54:352;18,59;;;18,59
14.03.2024 16:55:54:431;18,58;;;18,58
14.03.2024 16:55:54:510;18,58;;;18,58
14.03.2024 16:55:54:744;18,58;;;18,58
14.03.2024 16:55:54:822;18,57;;;18,57
14.03.2024 16:55:54:899;18,57;;;18,57
14.03.2024 16:55:54:977;18,57;;;18,57
14.03.2024 16:55:55:054;18,56;;;18,56
14.03.2024 16:55:55:131;18,55;;;18,55
14.03.2024 16:55:55:209;18,55;;;18,55
14.03.2024 16:55:55:287;18,55;;;18,55
14.03.2024 16:55:55:365;18,54;;;18,54
14.03.2024 16:55:55:442;18,54;;;18,54
14.03.2024 16:55:55:521;18,53;;;18,53
14.03.2024 16:55:55:831;18,53;;;18,53
14.03.2024 16:55:55:908;18,52;;;18,52
14.03.2024 16:55:55:986;18,51;;;18,51
14.03.2024 16:55:56:063;18,51;;;18,51
14.03.2024 16:55:56:140;18,5;;;18,5
14.03.2024 16:55:56:218;18,5;;;18,5
14.03.2024 16:55:56:297;18,5;;;18,5
14.03.2024 16:55:56:374;18,5;;;18,5
14.03.2024 16:55:56:451;18,49;;;18,49
14.03.2024 16:55:56:529;18,49;;;18,49
14.03.2024 16:55:56:607;18,49;;;18,49
14.03.2024 16:55:56:839;18,49;;;18,49
14.03.2024 16:55:56:917;18,48;;;18,48
14.03.2024 16:55:56:993;18,48;;;18,48
14.03.2024 16:55:57:069;18,47;;;18,47
14.03.2024 16:55:57:225;18,47;;;18,47
14.03.2024 16:55:57:302;18,47;;;18,47
14.03.2024 16:55:57:380;18,46;;;18,46
14.03.2024 16:55:57:457;18,46;;;18,46
14.03.2024 16:55:57:534;18,46;;;18,46
14.03.2024 16:55:57:689;18,46;;;18,46
14.03.2024 16:55:57:767;18,44;;;18,44
14.03.2024 16:55:57:922;18,44;;;18,44
14.03.2024 16:55:57:999;18,44;;;18,44
14.03.2024 16:55:58:076;18,44;;;18,44
14.03.2024 16:55:58:154;18,43;;;18,43
14.03.2024 16:55:58:310;18,43;;;18,43
14.03.2024 16:55:58:388;18,42;;;18,42
14.03.2024 16:55:58:466;18,42;;;18,42
14.03.2024 16:55:58:545;18,41;;;18,41
14.03.2024 16:55:58:622;18,41;;;18,41
14.03.2024 16:55:58:700;18,41;;;18,41
14.03.2024 16:55:58:933;18,41;;;18,41
14.03.2024 16:55:59:012;18,4;;;18,4
14.03.2024 16:55:59:089;18,39;;;18,39
14.03.2024 16:55:59:167;18,39;;;18,39
14.03.2024 16:55:59:244;18,38;;;18,38
14.03.2024 16:55:59:398;18,38;;;18,38
14.03.2024 16:55:59:632;18,38;;;18,38
14.03.2024 16:55:59:710;18,36;;;18,36
14.03.2024 16:55:59:866;18,36;;;18,36
14.03.2024 16:55:59:945;18,36;;;18,36
14.03.2024 16:56:00:021;18,35;;;18,35
14.03.2024 16:56:00:098;18,35;;;18,35
14.03.2024 16:56:00:176;18,35;;;18,35
14.03.2024 16:56:00:254;18,34;;;18,34
14.03.2024 16:56:00:332;18,34;;;18,34
14.03.2024 16:56:00:410;18,34;;;18,34
14.03.2024 16:56:00:487;18,33;;;18,33
14.03.2024 16:56:00:566;18,33;;;18,33
14.03.2024 16:56:00:645;18,33;;;18,33
14.03.2024 16:56:00:877;18,33;;;18,33
14.03.2024 16:56:00:954;18,32;;;18,32
14.03.2024 16:56:01:032;18,31;;;18,31
14.03.2024 16:56:01:108;18,31;;;18,31
14.03.2024 16:56:01:185;18,31;;;18,31
14.03.2024 16:56:01:263;18,31;;;18,31
14.03.2024 16:56:01:341;18,3;;;18,3
14.03.2024 16:56:01:417;18,3;;;18,3
14.03.2024 16:56:01:495;18,3;;;18,3
14.03.2024 16:56:01:574;18,29;;;18,29
14.03.2024 16:56:01:729;18,29;;;18,29
14.03.2024 16:56:01:807;18,28;;;18,28
14.03.2024 16:56:01:884;18,28;;;18,28
14.03.2024 16:56:01:962;18,28;;;18,28
14.03.2024 16:56:02:039;18,27;;;18,27
14.03.2024 16:56:02:117;18,27;;;18,27
14.03.2024 16:56:02:196;18,27;;;18,27
14.03.2024 16:56:02:274;18,26;;;18,26
14.03.2024 16:56:02:352;18,26;;;18,26
14.03.2024 16:56:02:429;18,26;;;18,26
14.03.2024 16:56:02:506;18,26;;;18,26
14.03.2024 16:56:02:584;18,25;;;18,25
14.03.2024 16:56:02:740;18,25;;;18,25
14.03.2024 16:56:02:818;18,25;;;18,25
14.03.2024 16:56:02:973;18,25;;;18,25
14.03.2024 16:56:03:050;18,24;;;18,24
14.03.2024 16:56:03:129;18,23;;;18,23
14.03.2024 16:56:03:207;18,23;;;18,23
14.03.2024 16:56:03:361;18,23;;;18,23
14.03.2024 16:56:03:438;18,22;;;18,22
14.03.2024 16:56:03:516;18,23;;;18,23
14.03.2024 16:56:03:594;18,22;;;18,22
14.03.2024 16:56:03:671;18,22;;;18,22
14.03.2024 16:56:03:748;18,21;;;18,21
14.03.2024 16:56:03:982;18,21;;;18,21
14.03.2024 16:56:04:060;18,2;;;18,2
14.03.2024 16:56:04:138;18,21;;;18,21
14.03.2024 16:56:04:216;18,2;;;18,2
14.03.2024 16:56:04:292;18,2;;;18,2
14.03.2024 16:56:04:369;18,19;;;18,19
14.03.2024 16:56:04:446;18,18;;;18,18
14.03.2024 16:56:04:523;18,18;;;18,18
14.03.2024 16:56:04:756;18,18;;;18,18
14.03.2024 16:56:04:836;18,17;;;18,17
14.03.2024 16:56:04:913;18,18;;;18,18
14.03.2024 16:56:04:991;18,17;;;18,17
14.03.2024 16:56:05:070;18,17;;;18,17
14.03.2024 16:56:05:148;18,15;;;18,15
14.03.2024 16:56:05:227;18,16;;;18,16
14.03.2024 16:56:05:304;18,15;;;18,15
14.03.2024 16:56:05:460;18,15;;;18,15
14.03.2024 16:56:05:537;18,15;;;18,15
14.03.2024 16:56:05:614;18,14;;;18,14
14.03.2024 16:56:05:692;18,15;;;18,15
14.03.2024 16:56:05:769;18,14;;;18,14
14.03.2024 16:56:05:847;18,14;;;18,14
14.03.2024 16:56:05:924;18,13;;;18,13
14.03.2024 16:56:06:002;18,13;;;18,13
14.03.2024 16:56:06:078;18,13;;;18,13
14.03.2024 16:56:06:310;18,13;;;18,13
14.03.2024 16:56:06:388;18,12;;;18,12
14.03.2024 16:56:06:466;18,12;;;18,12
14.03.2024 16:56:06:544;18,1;;;18,1
14.03.2024 16:56:06:621;18,11;;;18,11
14.03.2024 16:56:06:698;18,1;;;18,1
14.03.2024 16:56:07:007;18,1;;;18,1
14.03.2024 16:56:07:084;18,1;;;18,1
14.03.2024 16:56:07:161;18,1;;;18,1
14.03.2024 16:56:07:238;18,09;;;18,09
14.03.2024 16:56:07:316;18,09;;;18,09
14.03.2024 16:56:07:394;18,08;;;18,08
14.03.2024 16:56:07:471;18,09;;;18,09
14.03.2024 16:56:07:548;18,08;;;18,08
14.03.2024 16:56:07:626;18,08;;;18,08
14.03.2024 16:56:07:703;18,07;;;18,07
14.03.2024 16:56:07:780;18,07;;;18,07
14.03.2024 16:56:07:857;18,06;;;18,06
14.03.2024 16:56:07:933;18,07;;;18,07
14.03.2024 16:56:08:010;18,06;;;18,06
14.03.2024 16:56:08:086;18,06;;;18,06
14.03.2024 16:56:08:163;18,06;;;18,06
14.03.2024 16:56:08:241;18,06;;;18,06
14.03.2024 16:56:08:318;18,05;;;18,05
14.03.2024 16:56:08:395;18,06;;;18,06
14.03.2024 16:56:08:473;18,04;;;18,04
14.03.2024 16:56:08:550;18,04;;;18,04
14.03.2024 16:56:08:782;18,04;;;18,04
14.03.2024 16:56:08:858;18,03;;;18,03
14.03.2024 16:56:08:936;18,02;;;18,02
14.03.2024 16:56:09:012;18,02;;;18,02
14.03.2024 16:56:09:088;18,02;;;18,02
14.03.2024 16:56:09:245;18,02;;;18,02
14.03.2024 16:56:09:323;18,01;;;18,01
14.03.2024 16:56:09:476;18,01;;;18,01
14.03.2024 16:56:09:554;18,01;;;18,01
14.03.2024 16:56:09:632;18;;;18
14.03.2024 16:56:09:785;18;;;18
14.03.2024 16:56:09:863;17,99;;;17,99
14.03.2024 16:56:09:941;17,99;;;17,99
14.03.2024 16:56:10:017;17,99;;;17,99
14.03.2024 16:56:10:095;17,99;;;17,99
14.03.2024 16:56:10:330;17,99;;;17,99
14.03.2024 16:56:10:409;17,98;;;17,98
14.03.2024 16:56:10:641;17,98;;;17,98
14.03.2024 16:56:10:717;17,97;;;17,97
14.03.2024 16:56:10:794;17,98;;;17,98
14.03.2024 16:56:10:873;17,97;;;17,97
14.03.2024 16:56:10:951;17,96;;;17,96
14.03.2024 16:56:11:028;17,96;;;17,96
14.03.2024 16:56:11:105;17,95;;;17,95
14.03.2024 16:56:11:183;17,96;;;17,96
14.03.2024 16:56:11:260;17,95;;;17,95
14.03.2024 16:56:11:340;17,94;;;17,94
14.03.2024 16:56:11:419;17,95;;;17,95
14.03.2024 16:56:11:498;17,95;;;17,95
14.03.2024 16:56:11:576;17,94;;;17,94
14.03.2024 16:56:11:652;17,94;;;17,94
14.03.2024 16:56:11:729;17,93;;;17,93
14.03.2024 16:56:11:807;17,93;;;17,93
14.03.2024 16:56:11:884;17,94;;;17,94
14.03.2024 16:56:11:962;17,93;;;17,93
14.03.2024 16:56:12:039;17,93;;;17,93
14.03.2024 16:56:12:117;17,93;;;17,93
14.03.2024 16:56:12:194;17,92;;;17,92
14.03.2024 16:56:12:270;17,93;;;17,93
14.03.2024 16:56:12:349;17,92;;;17,92
14.03.2024 16:56:12:426;17,91;;;17,91
14.03.2024 16:56:12:503;17,92;;;17,92
14.03.2024 16:56:12:581;17,91;;;17,91
14.03.2024 16:56:12:657;17,91;;;17,91
14.03.2024 16:56:12:735;17,91;;;17,91
14.03.2024 16:56:12:813;17,9;;;17,9
14.03.2024 16:56:13:045;17,9;;;17,9
14.03.2024 16:56:13:123;17,9;;;17,9
14.03.2024 16:56:13:279;17,9;;;17,9
14.03.2024 16:56:13:355;17,88;;;17,88
14.03.2024 16:56:13:432;17,89;;;17,89
14.03.2024 16:56:13:510;17,88;;;17,88
14.03.2024 16:56:13:588;17,86;;;17,86
14.03.2024 16:56:13:666;17,67;;;17,67
14.03.2024 16:56:13:745;16,7;;;16,7
14.03.2024 16:56:13:823;15,8;;;15,8
14.03.2024 16:56:13:900;15,05;;;15,05
14.03.2024 16:56:13:977;14,34;;;14,34
14.03.2024 16:56:14:054;13,73;;;13,73
14.03.2024 16:56:14:131;13,14;;;13,14
14.03.2024 16:56:14:208;12,65;;;12,65
14.03.2024 16:56:14:287;12,15;;;12,15
14.03.2024 16:56:14:364;11,74;;;11,74
14.03.2024 16:56:14:442;11,34;;;11,34
14.03.2024 16:56:14:519;10,95;;;10,95
14.03.2024 16:56:14:596;10,6;;;10,6
14.03.2024 16:56:14:674;10,29;;;10,29
14.03.2024 16:56:14:754;9,98;;;9,98
14.03.2024 16:56:14:833;9,69;;;9,69
14.03.2024 16:56:14:911;9,41;;;9,41
14.03.2024 16:56:14:988;9,17;;;9,17
14.03.2024 16:56:15:065;8,93;;;8,93
14.03.2024 16:56:15:143;8,71;;;8,71
14.03.2024 16:56:15:297;8,32;;;8,32
14.03.2024 16:56:15:373;8,13;;;8,13
14.03.2024 16:56:15:451;7,96;;;7,96
14.03.2024 16:56:15:528;7,8;;;7,8
14.03.2024 16:56:15:607;7,62;;;7,62
14.03.2024 16:56:15:683;7,47;;;7,47
14.03.2024 16:56:15:761;7,34;;;7,34
14.03.2024 16:56:15:839;7,19;;;7,19
14.03.2024 16:56:15:919;7,07;;;7,07
14.03.2024 16:56:15:999;6,94;;;6,94
14.03.2024 16:56:16:077;6,82;;;6,82
14.03.2024 16:56:16:154;6,7;;;6,7
14.03.2024 16:56:16:231;6,59;;;6,59
14.03.2024 16:56:16:307;6,49;;;6,49
14.03.2024 16:56:16:385;6,39;;;6,39
14.03.2024 16:56:16:464;6,3;;;6,3
14.03.2024 16:56:16:541;6,21;;;6,21
14.03.2024 16:56:16:618;6,12;;;6,12
14.03.2024 16:56:16:697;6,01;;;6,01
14.03.2024 16:56:16:774;5,87;;;5,87
14.03.2024 16:56:16:851;5,7;;;5,7
14.03.2024 16:56:16:928;5,51;;;5,51
14.03.2024 16:56:17:006;5,33;;;5,33
14.03.2024 16:56:17:083;5,13;;;5,13
14.03.2024 16:56:17:160;4,92;;;4,92
14.03.2024 16:56:17:237;4,73;;;4,73
14.03.2024 16:56:17:315;4,52;;;4,52
14.03.2024 16:56:17:393;4,3;;;4,3
14.03.2024 16:56:17:470;4,1;;;4,1
14.03.2024 16:56:17:547;3,88;;;3,88
14.03.2024 16:56:17:623;3,67;;;3,67
14.03.2024 16:56:17:701;3,47;;;3,47
14.03.2024 16:56:17:777;3,27;;;3,27
14.03.2024 16:56:17:855;3,06;;;3,06
14.03.2024 16:56:17:932;2,88;;;2,88
14.03.2024 16:56:18:009;2,68;;;2,68
14.03.2024 16:56:18:088;2,48;;;2,48
14.03.2024 16:56:18:165;2,31;;;2,31
14.03.2024 16:56:18:319;1,97;;;1,97
14.03.2024 16:56:18:397;1,81;;;1,81
14.03.2024 16:56:18:475;1,67;;;1,67
14.03.2024 16:56:18:552;1,52;;;1,52
14.03.2024 16:56:18:630;1,38;;;1,38
14.03.2024 16:56:18:708;1,26;;;1,26
14.03.2024 16:56:18:787;1,15;;;1,15
14.03.2024 16:56:18:863;1,03;;;1,03
14.03.2024 16:56:18:940;0,93;;;0,93
14.03.2024 16:56:19:019;0,84;;;0,84
14.03.2024 16:56:19:095;0,76;;;0,76
14.03.2024 16:56:19:173;0,68;;;0,68
14.03.2024 16:56:19:250;0,61;;;0,61
14.03.2024 16:56:19:326;0,53;;;0,53
14.03.2024 16:56:19:404;0,47;;;0,47
14.03.2024 16:56:19:482;0,41;;;0,41
14.03.2024 16:56:19:560;0,36;;;0,36
14.03.2024 16:56:19:639;0,32;;;0,32
14.03.2024 16:56:19:717;0,28;;;0,28
14.03.2024 16:56:19:794;0,24;;;0,24
14.03.2024 16:56:19:872;0,21;;;0,21
14.03.2024 16:56:19:949;0,18;;;0,18
14.03.2024 16:56:20:027;0,16;;;0,16
14.03.2024 16:56:20:105;0,13;;;0,13
14.03.2024 16:56:20:183;0,12;;;0,12
14.03.2024 16:56:20:259;0,11;;;0,11
14.03.2024 16:56:20:337;0,11;;;0,11
14.03.2024 16:56:20:415;0,1;;;0,1
14.03.2024 16:56:20:491;0,09;;;0,09
14.03.2024 16:56:20:570;0,09;;;0,09
14.03.2024 16:56:20:647;0,08;;;0,08
14.03.2024 16:56:20:879;0,08;;;0,08
14.03.2024 16:56:20:957;0,08;;;0,08
14.03.2024 16:56:21:035;0,08;;;0,08
14.03.2024 16:56:21:111;0,08;;;0,08
14.03.2024 16:56:21:266;0,08;;;0,08
14.03.2024 16:56:21:344;0,08;;;0,08
14.03.2024 16:56:21:421;0,08;;;0,08
14.03.2024 16:56:21:499;0,08;;;0,08
14.03.2024 16:56:21:577;0,07;;;0,07
14.03.2024 16:56:21:962;0,07;;;0,07
14.03.2024 16:56:22:040;0,08;;;0,08
14.03.2024 16:56:22:119;0,08;;;0,08
14.03.2024 16:56:22:195;0,08;;;0,08
14.03.2024 16:56:22:273;0,07;;;0,07
14.03.2024 16:56:22:351;0,08;;;0,08
14.03.2024 16:56:22:428;0,07;;;0,07
14.03.2024 16:56:22:505;0,08;;;0,08
14.03.2024 16:56:22:582;0,07;;;0,07
14.03.2024 16:56:22:660;0,08;;;0,08
14.03.2024 16:56:22:737;0,07;;;0,07
14.03.2024 16:56:22:815;0,08;;;0,08
14.03.2024 16:56:22:893;0,07;;;0,07
14.03.2024 16:56:22:972;0,08;;;0,08
14.03.2024 16:56:23:049;0,08;;;0,08
14.03.2024 16:56:23:126;0,07;;;0,07
14.03.2024 16:56:23:204;0,08;;;0,08
14.03.2024 16:56:23:281;0,08;;;0,08
14.03.2024 16:56:23:359;0,07;;;0,07
14.03.2024 16:56:23:437;0,07;;;0,07
14.03.2024 16:56:23:516;0,08;;;0,08
14.03.2024 16:56:23:594;0,07;;;0,07
14.03.2024 16:56:23:672;0,08;;;0,08
14.03.2024 16:56:23:750;0,07;;;0,07
14.03.2024 16:56:23:826;0,07;;;0,07
14.03.2024 16:56:23:903;0,08;;;0,08
14.03.2024 16:56:23:982;0,08;;;0,08
14.03.2024 16:56:24:059;0,07;;;0,07
14.03.2024 16:56:24:137;0,07;;;0,07
14.03.2024 16:56:24:214;0,07;;;0,07
14.03.2024 16:56:24:447;0,07;;;0,07
14.03.2024 16:56:24:525;0,08;;;0,08
14.03.2024 16:56:24:603;0,07;;;0,07
14.03.2024 16:56:24:759;0,07;;;0,07
14.03.2024 16:56:24:835;0,07;;;0,07
14.03.2024 16:56:24:912;0,07;;;0,07
14.03.2024 16:56:24:989;0,07;;;0,07
14.03.2024 16:56:25:066;0,07;;;0,07
14.03.2024 16:56:25:144;0,07;;;0,07
14.03.2024 16:56:25:220;0,07;;;0,07
14.03.2024 16:56:25:297;0,07;;;0,07
14.03.2024 16:56:25:608;0,07;;;0,07
14.03.2024 16:56:25:685;0,07;;;0,07
14.03.2024 16:56:25:764;0,07;;;0,07
14.03.2024 16:56:25:841;0,07;;;0,07
14.03.2024 16:56:25:995;0,07;;;0,07
14.03.2024 16:56:26:072;0,08;;;0,08
14.03.2024 16:56:26:150;0,07;;;0,07
14.03.2024 16:56:26:227;0,07;;;0,07
14.03.2024 16:56:26:304;0,07;;;0,07
14.03.2024 16:56:26:381;0,07;;;0,07
14.03.2024 16:56:26:459;0,07;;;0,07
14.03.2024 16:56:26:770;0,07;;;0,07
14.03.2024 16:56:26:848;0,07;;;0,07
14.03.2024 16:56:26:926;0,07;;;0,07
14.03.2024 16:56:27:006;0,06;;;0,06
14.03.2024 16:56:27:086;0,07;;;0,07
14.03.2024 16:56:27:163;0,07;;;0,07
14.03.2024 16:56:27:241;0,07;;;0,07
14.03.2024 16:56:27:318;0,07;;;0,07
14.03.2024 16:56:27:396;0,08;;;0,08
14.03.2024 16:56:27:473;0,07;;;0,07
14.03.2024 16:56:27:551;0,07;;;0,07
14.03.2024 16:56:27:629;0,07;;;0,07
14.03.2024 16:56:27:705;0,07;;;0,07
14.03.2024 16:56:27:781;0,07;;;0,07
14.03.2024 16:56:27:858;0,07;;;0,07
14.03.2024 16:56:27:935;0,07;;;0,07
14.03.2024 16:56:28:012;0,07;;;0,07
14.03.2024 16:56:28:090;0,07;;;0,07
14.03.2024 16:56:28:170;0,07;;;0,07
14.03.2024 16:56:28:247;0,07;;;0,07
14.03.2024 16:56:28:325;0,08;;;0,08
14.03.2024 16:56:28:402;0,08;;;0,08
14.03.2024 16:56:28:480;0,07;;;0,07
14.03.2024 16:56:28:558;0,07;;;0,07
14.03.2024 16:56:28:635;0,07;;;0,07
14.03.2024 16:56:28:714;0,07;;;0,07
14.03.2024 16:56:28:792;0,07;;;0,07
14.03.2024 16:56:28:870;0,07;;;0,07
14.03.2024 16:56:28:947;0,07;;;0,07
14.03.2024 16:56:29:103;0,08;;;0,08
14.03.2024 16:56:29:180;0,08;;;0,08
14.03.2024 16:56:29:257;0,08;;;0,08
14.03.2024 16:56:29:336;0,07;;;0,07
14.03.2024 16:56:29:412;0,07;;;0,07
14.03.2024 16:56:29:490;0,07;;;0,07
14.03.2024 16:56:29:568;0,07;;;0,07
14.03.2024 16:56:29:646;0,07;;;0,07
14.03.2024 16:56:29:724;0,08;;;0,08
14.03.2024 16:56:29:802;0,07;;;0,07
14.03.2024 16:56:29:880;0,07;;;0,07
14.03.2024 16:56:29:958;0,07;;;0,07
14.03.2024 16:56:30:035;0,07;;;0,07
14.03.2024 16:56:30:112;0,07;;;0,07
14.03.2024 16:56:30:188;0,07;;;0,07
14.03.2024 16:56:30:265;0,07;;;0,07
14.03.2024 16:56:30:343;0,07;;;0,07
14.03.2024 16:56:30:421;0,07;;;0,07
14.03.2024 16:56:30:500;0,07;;;0,07
14.03.2024 16:56:30:579;0,07;;;0,07
14.03.2024 16:56:30:657;0,07;;;0,07
14.03.2024 16:56:30:813;0,07;;;0,07
14.03.2024 16:56:30:891;0,07;;;0,07
14.03.2024 16:56:30:969;0,07;;;0,07
14.03.2024 16:56:31:047;0,07;;;0,07
14.03.2024 16:56:31:125;0,07;;;0,07
14.03.2024 16:56:31:203;0,07;;;0,07
14.03.2024 16:56:31:280;0,07;;;0,07
14.03.2024 16:56:31:359;0,08;;;0,08
14.03.2024 16:56:31:437;0,08;;;0,08
14.03.2024 16:56:31:514;0,07;;;0,07
14.03.2024 16:56:31:591;0,08;;;0,08
14.03.2024 16:56:31:669;0,07;;;0,07
14.03.2024 16:56:31:746;0,08;;;0,08
14.03.2024 16:56:31:824;0,08;;;0,08
14.03.2024 16:56:31:904;0,07;;;0,07
14.03.2024 16:56:31:984;0,07;;;0,07
14.03.2024 16:56:32:064;0,07;;;0,07
14.03.2024 16:56:32:144;0,08;;;0,08
14.03.2024 16:56:32:221;0,07;;;0,07
14.03.2024 16:56:32:299;0,07;;;0,07
14.03.2024 16:56:32:376;0,07;;;0,07
14.03.2024 16:56:32:455;0,08;;;0,08
14.03.2024 16:56:32:531;0,07;;;0,07
14.03.2024 16:56:32:610;0,07;;;0,07
14.03.2024 16:56:32:688;0,08;;;0,08
14.03.2024 16:56:32:766;0,08;;;0,08
14.03.2024 16:56:32:843;0,08;;;0,08
14.03.2024 16:56:32:920;0,08;;;0,08
14.03.2024 16:56:32:998;0,08;;;0,08
14.03.2024 16:56:33:076;0,07;;;0,07
14.03.2024 16:56:33:154;0,07;;;0,07
14.03.2024 16:56:33:232;0,08;;;0,08
14.03.2024 16:56:33:309;0,08;;;0,08
14.03.2024 16:56:33:387;0,08;;;0,08
14.03.2024 16:56:33:464;0,08;;;0,08
14.03.2024 16:56:33:541;0,08;;;0,08
14.03.2024 16:56:33:618;0,07;;;0,07
14.03.2024 16:56:33:696;0,08;;;0,08
14.03.2024 16:56:33:773;0,07;;;0,07
14.03.2024 16:56:33:851;0,07;;;0,07
14.03.2024 16:56:33:930;0,07;;;0,07
14.03.2024 16:56:34:010;0,07;;;0,07
14.03.2024 16:56:34:088;0,07;;;0,07
14.03.2024 16:56:34:166;0,08;;;0,08
14.03.2024 16:56:34:244;0,07;;;0,07
14.03.2024 16:56:34:321;0,07;;;0,07
14.03.2024 16:56:34:399;0,08;;;0,08
14.03.2024 16:56:34:477;0,07;;;0,07
14.03.2024 16:56:34:555;0,07;;;0,07
14.03.2024 16:56:34:632;0,07;;;0,07
14.03.2024 16:56:34:710;0,07;;;0,07
14.03.2024 16:56:34:788;0,07;;;0,07
14.03.2024 16:56:34:942;0,07;;;0,07
14.03.2024 16:56:35:020;0,07;;;0,07
14.03.2024 16:56:35:097;0,08;;;0,08
14.03.2024 16:56:35:174;0,07;;;0,07
14.03.2024 16:56:35:250;0,07;;;0,07
14.03.2024 16:56:35:328;0,08;;;0,08
14.03.2024 16:56:35:406;0,08;;;0,08
14.03.2024 16:56:35:484;0,07;;;0,07
14.03.2024 16:56:35:564;0,08;;;0,08
14.03.2024 16:56:35:644;0,08;;;0,08
14.03.2024 16:56:35:722;0,08;;;0,08
14.03.2024 16:56:35:800;0,08;;;0,08
14.03.2024 16:56:35:879;0,08;;;0,08
14.03.2024 16:56:36:033;0,08;;;0,08
14.03.2024 16:56:36:111;0,08;;;0,08
14.03.2024 16:56:36:188;0,08;;;0,08
14.03.2024 16:56:36:266;0,07;;;0,07
14.03.2024 16:56:36:342;0,08;;;0,08
14.03.2024 16:56:36:420;0,07;;;0,07
14.03.2024 16:56:36:497;0,08;;;0,08
14.03.2024 16:56:36:575;0,08;;;0,08
14.03.2024 16:56:36:652;0,08;;;0,08
14.03.2024 16:56:36:729;0,08;;;0,08
14.03.2024 16:56:36:807;0,07;;;0,07
14.03.2024 16:56:36:886;0,07;;;0,07
14.03.2024 16:56:36:962;0,07;;;0,07
14.03.2024 16:56:37:039;0,07;;;0,07
14.03.2024 16:56:37:116;0,07;;;0,07
14.03.2024 16:56:37:193;0,07;;;0,07
