Дата Время;давление
14.03.2024 17:43:44:596;15,52
14.03.2024 17:43:44:676;15,07
14.03.2024 17:43:44:754;14,62
14.03.2024 17:43:44:833;14,21
14.03.2024 17:43:44:911;13,85
14.03.2024 17:43:44:989;13,49
14.03.2024 17:43:45:066;13,16
14.03.2024 17:43:45:144;12,85
14.03.2024 17:43:45:221;12,58
14.03.2024 17:43:45:298;12,31
14.03.2024 17:43:45:377;12,05
14.03.2024 17:43:45:453;11,82
14.03.2024 17:43:45:530;11,59
14.03.2024 17:43:45:608;11,38
14.03.2024 17:43:45:686;11,16
14.03.2024 17:43:45:765;10,98
14.03.2024 17:43:45:842;10,79
14.03.2024 17:43:45:919;10,63
14.03.2024 17:43:45:998;10,45
14.03.2024 17:43:46:076;10,31
14.03.2024 17:43:46:154;10,17
14.03.2024 17:43:46:232;9,99
14.03.2024 17:43:46:310;9,76
14.03.2024 17:43:46:388;9,51
14.03.2024 17:43:46:464;9,23
14.03.2024 17:43:46:541;8,96
14.03.2024 17:43:46:619;8,66
14.03.2024 17:43:46:697;8,37
14.03.2024 17:43:46:777;8,06
14.03.2024 17:43:46:857;7,78
14.03.2024 17:43:46:935;7,46
14.03.2024 17:43:47:013;7,14
14.03.2024 17:43:47:091;6,85
14.03.2024 17:43:47:169;6,54
14.03.2024 17:43:47:246;6,26
14.03.2024 17:43:47:323;5,98
14.03.2024 17:43:47:401;5,7
14.03.2024 17:43:47:480;5,42
14.03.2024 17:43:47:560;5,18
14.03.2024 17:43:47:638;4,93
14.03.2024 17:43:47:716;4,68
14.03.2024 17:43:47:795;4,48
14.03.2024 17:43:47:876;4,26
14.03.2024 17:43:47:954;4,06
14.03.2024 17:43:48:034;3,87
14.03.2024 17:43:48:112;3,69
14.03.2024 17:43:48:192;3,55
14.03.2024 17:43:48:271;3,39
14.03.2024 17:43:48:348;3,24
14.03.2024 17:43:48:425;3,12
14.03.2024 17:43:48:501;3,02
14.03.2024 17:43:48:579;2,92
14.03.2024 17:43:48:657;2,81
14.03.2024 17:43:48:735;2,71
14.03.2024 17:43:48:813;2,63
14.03.2024 17:43:48:892;2,55
14.03.2024 17:43:48:969;2,48
14.03.2024 17:43:49:048;2,42
14.03.2024 17:43:49:126;2,36
14.03.2024 17:43:49:204;2,32
14.03.2024 17:43:49:284;2,28
14.03.2024 17:43:49:360;2,24
14.03.2024 17:43:49:437;2,21
14.03.2024 17:43:49:515;2,19
14.03.2024 17:43:49:592;2,16
14.03.2024 17:43:49:671;2,15
14.03.2024 17:43:49:748;2,13
14.03.2024 17:43:49:827;2,11
14.03.2024 17:43:49:906;2,1
14.03.2024 17:43:49:985;2,08
14.03.2024 17:43:50:064;2,07
14.03.2024 17:43:50:142;2,04
14.03.2024 17:43:50:221;2,03
14.03.2024 17:43:50:300;2,02
14.03.2024 17:43:50:377;2
14.03.2024 17:43:50:454;1,99
14.03.2024 17:43:50:531;1,98
14.03.2024 17:43:50:608;1,96
14.03.2024 17:43:50:684;1,95
14.03.2024 17:43:50:761;1,94
14.03.2024 17:43:50:842;1,92
14.03.2024 17:43:50:920;1,92
14.03.2024 17:43:50:998;1,9
14.03.2024 17:43:51:077;1,89
14.03.2024 17:43:51:158;1,88
14.03.2024 17:43:51:237;1,87
14.03.2024 17:43:51:316;1,86
14.03.2024 17:43:51:392;1,84
14.03.2024 17:43:51:470;1,84
14.03.2024 17:43:51:547;1,84
14.03.2024 17:43:51:626;1,83
14.03.2024 17:43:51:703;1,82
14.03.2024 17:43:51:780;1,8
14.03.2024 17:43:51:859;1,8
14.03.2024 17:43:51:937;1,79
14.03.2024 17:43:52:016;1,79
14.03.2024 17:43:52:170;1,79
14.03.2024 17:43:52:249;1,77
14.03.2024 17:43:52:326;1,77
14.03.2024 17:43:52:404;1,77
14.03.2024 17:43:52:480;1,76
14.03.2024 17:43:52:636;1,76
14.03.2024 17:43:52:713;1,75
14.03.2024 17:43:52:869;1,75
14.03.2024 17:43:52:949;1,75
14.03.2024 17:43:53:182;1,75
14.03.2024 17:43:53:260;1,74
14.03.2024 17:43:53:338;1,74
14.03.2024 17:43:53:418;1,74
14.03.2024 17:43:53:498;1,74
14.03.2024 17:43:53:577;1,74
14.03.2024 17:43:53:656;1,74
14.03.2024 17:43:53:736;1,74
14.03.2024 17:43:53:816;1,74
14.03.2024 17:43:53:896;1,74
14.03.2024 17:43:53:976;1,74
14.03.2024 17:43:54:054;1,74
14.03.2024 17:43:54:452;1,74
14.03.2024 17:43:54:529;1,74
14.03.2024 17:43:54:838;1,74
14.03.2024 17:43:54:915;1,73
14.03.2024 17:43:54:991;1,73
14.03.2024 17:43:55:069;1,74
14.03.2024 17:43:55:146;1,73
14.03.2024 17:43:55:223;1,74
14.03.2024 17:43:55:301;1,73
