Дата Время;давление
14.03.2024 20:50:42:708;22,24
14.03.2024 20:50:42:865;22,24
14.03.2024 20:50:42:943;22,24
14.03.2024 20:50:43:099;22,24
14.03.2024 20:50:43:177;22,25
14.03.2024 20:50:43:256;22,25
14.03.2024 20:50:43:334;22,24
14.03.2024 20:50:43:412;22,25
14.03.2024 20:50:43:490;22,25
14.03.2024 20:50:43:568;22,26
14.03.2024 20:50:43:724;22,26
14.03.2024 20:50:43:803;22,25
14.03.2024 20:50:43:896;22,26
14.03.2024 20:50:43:990;22,27
14.03.2024 20:50:44:146;22,27
14.03.2024 20:50:44:224;22,27
14.03.2024 20:50:44:615;22,27
14.03.2024 20:50:44:693;22,28
14.03.2024 20:50:44:771;22,27
14.03.2024 20:50:44:850;22,28
14.03.2024 20:50:44:928;22,28
14.03.2024 20:50:45:006;22,29
14.03.2024 20:50:45:412;22,29
14.03.2024 20:50:45:490;22,30
14.03.2024 20:50:45:725;22,30
14.03.2024 20:50:45:803;22,30
14.03.2024 20:50:45:881;22,30
14.03.2024 20:50:45:975;22,31
14.03.2024 20:50:46:069;22,32
14.03.2024 20:50:46:147;22,31
14.03.2024 20:50:46:303;22,31
14.03.2024 20:50:46:381;22,31
14.03.2024 20:50:46:459;22,32
14.03.2024 20:50:46:537;22,32
14.03.2024 20:50:46:616;22,32
14.03.2024 20:50:46:772;22,32
14.03.2024 20:50:46:850;22,32
14.03.2024 20:50:46:928;22,32
14.03.2024 20:50:47:006;22,32
14.03.2024 20:50:47:086;22,33
14.03.2024 20:50:47:178;22,33
14.03.2024 20:50:47:350;22,33
14.03.2024 20:50:47:429;22,33
14.03.2024 20:50:47:741;22,33
14.03.2024 20:50:47:819;22,34
14.03.2024 20:50:47:898;22,35
14.03.2024 20:50:47:975;22,34
14.03.2024 20:50:48:054;22,34
14.03.2024 20:50:48:132;22,35
14.03.2024 20:50:48:445;22,35
14.03.2024 20:50:48:538;22,35
14.03.2024 20:50:48:694;22,35
14.03.2024 20:50:48:773;22,35
14.03.2024 20:50:48:851;22,36
14.03.2024 20:50:48:929;22,36
14.03.2024 20:50:49:007;22,37
14.03.2024 20:50:49:085;22,35
14.03.2024 20:50:49:163;22,37
14.03.2024 20:50:49:476;22,37
14.03.2024 20:50:49:554;22,37
14.03.2024 20:50:49:632;22,37
14.03.2024 20:50:49:710;22,37
14.03.2024 20:50:49:882;22,37
14.03.2024 20:50:49:960;22,38
14.03.2024 20:50:50:039;22,37
14.03.2024 20:50:50:117;22,38
14.03.2024 20:50:50:351;22,38
14.03.2024 20:50:50:430;22,38
14.03.2024 20:50:50:507;22,38
14.03.2024 20:50:50:585;22,39
14.03.2024 20:50:50:664;22,35
14.03.2024 20:50:50:742;21,50
14.03.2024 20:50:50:820;20,70
14.03.2024 20:50:50:898;19,97
14.03.2024 20:50:50:977;19,35
14.03.2024 20:50:51:055;18,90
14.03.2024 20:50:51:133;18,48
14.03.2024 20:50:51:211;18,14
14.03.2024 20:50:51:289;17,81
14.03.2024 20:50:51:367;17,51
14.03.2024 20:50:51:445;17,21
14.03.2024 20:50:51:523;16,94
14.03.2024 20:50:51:601;16,68
14.03.2024 20:50:51:680;16,43
14.03.2024 20:50:51:758;16,21
14.03.2024 20:50:51:836;15,99
14.03.2024 20:50:51:914;15,80
14.03.2024 20:50:51:992;15,61
14.03.2024 20:50:52:071;15,44
14.03.2024 20:50:52:164;15,26
14.03.2024 20:50:52:242;15,06
14.03.2024 20:50:52:320;14,80
14.03.2024 20:50:52:399;14,47
14.03.2024 20:50:52:477;14,10
14.03.2024 20:50:52:555;13,67
14.03.2024 20:50:52:633;13,21
14.03.2024 20:50:52:711;12,67
14.03.2024 20:50:52:790;12,17
14.03.2024 20:50:52:868;11,66
14.03.2024 20:50:52:946;11,16
14.03.2024 20:50:53:024;10,71
14.03.2024 20:50:53:102;10,23
14.03.2024 20:50:53:180;9,81
14.03.2024 20:50:53:258;9,35
14.03.2024 20:50:53:337;8,94
14.03.2024 20:50:53:414;8,52
14.03.2024 20:50:53:493;8,11
14.03.2024 20:50:53:571;7,76
14.03.2024 20:50:53:649;7,41
14.03.2024 20:50:53:727;7,06
14.03.2024 20:50:53:805;6,74
