Дата Время;давление
14.03.2024 20:12:47:915;26,77
14.03.2024 20:12:47:993;26,76
14.03.2024 20:12:48:071;26,77
14.03.2024 20:12:48:149;26,78
14.03.2024 20:12:48:634;26,78
14.03.2024 20:12:48:712;26,79
14.03.2024 20:12:48:806;26,79
14.03.2024 20:12:48:884;26,78
14.03.2024 20:12:48:962;26,79
14.03.2024 20:12:49:040;26,79
14.03.2024 20:12:49:118;26,79
14.03.2024 20:12:49:822;26,79
14.03.2024 20:12:49:900;26,79
14.03.2024 20:12:50:056;26,79
14.03.2024 20:12:50:134;26,79
14.03.2024 20:12:50:212;26,80
14.03.2024 20:12:50:290;26,79
14.03.2024 20:12:50:368;26,80
14.03.2024 20:12:50:447;26,80
14.03.2024 20:12:50:525;26,80
14.03.2024 20:12:50:603;26,80
14.03.2024 20:12:50:681;26,29
14.03.2024 20:12:50:759;25,04
14.03.2024 20:12:50:838;23,99
14.03.2024 20:12:50:916;22,99
14.03.2024 20:12:50:994;22,09
14.03.2024 20:12:51:072;21,32
14.03.2024 20:12:51:150;20,60
14.03.2024 20:12:51:228;19,99
14.03.2024 20:12:51:306;19,39
14.03.2024 20:12:51:384;18,86
14.03.2024 20:12:51:463;18,37
14.03.2024 20:12:51:541;17,95
14.03.2024 20:12:51:619;17,54
14.03.2024 20:12:51:697;17,16
14.03.2024 20:12:51:775;16,84
14.03.2024 20:12:51:854;16,52
14.03.2024 20:12:51:932;16,26
14.03.2024 20:12:52:010;15,98
14.03.2024 20:12:52:088;15,73
14.03.2024 20:12:52:166;15,52
14.03.2024 20:12:52:244;15,31
14.03.2024 20:12:52:322;15,05
14.03.2024 20:12:52:400;14,67
14.03.2024 20:12:52:478;14,24
14.03.2024 20:12:52:557;13,75
14.03.2024 20:12:52:636;13,26
14.03.2024 20:12:52:729;12,62
14.03.2024 20:12:52:807;12,08
14.03.2024 20:12:52:901;11,59
14.03.2024 20:12:52:979;10,98
14.03.2024 20:12:53:057;10,49
14.03.2024 20:12:53:135;9,97
14.03.2024 20:12:53:213;9,48
14.03.2024 20:12:53:291;8,99
14.03.2024 20:12:53:369;8,52
14.03.2024 20:12:53:448;8,11
14.03.2024 20:12:53:526;7,72
14.03.2024 20:12:53:620;7,30
14.03.2024 20:12:53:698;6,94
14.03.2024 20:12:53:776;6,63
14.03.2024 20:12:53:854;6,35
14.03.2024 20:12:53:932;6,06
14.03.2024 20:12:54:011;5,81
14.03.2024 20:12:54:088;5,56
14.03.2024 20:12:54:166;5,36
14.03.2024 20:12:54:245;5,14
14.03.2024 20:12:54:323;4,95
14.03.2024 20:12:54:401;4,77
14.03.2024 20:12:54:479;4,60
14.03.2024 20:12:54:557;4,44
14.03.2024 20:12:54:651;4,28
14.03.2024 20:12:54:730;4,09
14.03.2024 20:12:54:807;3,94
14.03.2024 20:12:54:886;3,82
14.03.2024 20:12:54:964;3,69
14.03.2024 20:12:55:042;3,56
14.03.2024 20:12:55:120;3,44
14.03.2024 20:12:55:198;3,33
14.03.2024 20:12:55:276;3,23
14.03.2024 20:12:55:354;3,11
14.03.2024 20:12:55:432;3,00
14.03.2024 20:12:55:511;2,91
14.03.2024 20:12:55:589;2,82
14.03.2024 20:12:55:667;2,74
14.03.2024 20:12:55:745;2,66
14.03.2024 20:12:55:824;2,59
14.03.2024 20:12:55:902;2,51
14.03.2024 20:12:55:980;2,45
14.03.2024 20:12:56:058;2,38
14.03.2024 20:12:56:136;2,31
14.03.2024 20:12:56:214;2,25
14.03.2024 20:12:56:292;2,18
14.03.2024 20:12:56:370;2,11
14.03.2024 20:12:56:448;2,06
14.03.2024 20:12:56:527;2,01
14.03.2024 20:12:56:605;1,96
14.03.2024 20:12:56:683;1,93
14.03.2024 20:12:56:761;1,89
14.03.2024 20:12:56:839;1,85
14.03.2024 20:12:56:917;1,82
14.03.2024 20:12:57:073;1,76
14.03.2024 20:12:57:151;1,75
14.03.2024 20:12:57:224;1,74
14.03.2024 20:12:57:302;1,72
14.03.2024 20:12:57:380;1,71
14.03.2024 20:12:57:458;1,70
14.03.2024 20:12:57:536;1,68
14.03.2024 20:12:57:614;1,67
14.03.2024 20:12:57:692;1,67
14.03.2024 20:12:57:771;1,66
14.03.2024 20:12:57:927;1,66
14.03.2024 20:12:58:005;1,66
14.03.2024 20:12:58:083;1,66
14.03.2024 20:12:58:161;1,66
14.03.2024 20:12:58:239;1,66
14.03.2024 20:12:58:318;1,66
14.03.2024 20:12:58:396;1,66
14.03.2024 20:12:59:021;1,66
14.03.2024 20:12:59:099;1,66
14.03.2024 20:12:59:177;1,66
14.03.2024 20:12:59:255;1,66
14.03.2024 20:12:59:334;1,66
14.03.2024 20:13:00:115;1,66
14.03.2024 20:13:00:193;1,66
14.03.2024 20:13:00:740;1,66
14.03.2024 20:13:00:818;1,66
14.03.2024 20:13:00:897;1,66
14.03.2024 20:13:00:975;1,66
14.03.2024 20:13:01:053;1,66
14.03.2024 20:13:01:131;1,66
14.03.2024 20:13:01:209;1,66
14.03.2024 20:13:01:287;1,66
14.03.2024 20:13:01:365;1,66
14.03.2024 20:13:01:444;1,66
14.03.2024 20:13:01:912;1,66
14.03.2024 20:13:01:991;1,66
14.03.2024 20:13:02:069;1,66
14.03.2024 20:13:02:147;1,66
14.03.2024 20:13:02:225;1,66
14.03.2024 20:13:02:616;1,66
14.03.2024 20:13:02:694;1,66
14.03.2024 20:13:02:772;1,66
14.03.2024 20:13:02:850;1,66
14.03.2024 20:13:02:928;1,66
14.03.2024 20:13:03:007;1,66
14.03.2024 20:13:03:085;1,66
14.03.2024 20:13:03:163;1,66
14.03.2024 20:13:03:241;1,67
14.03.2024 20:13:03:319;1,66
14.03.2024 20:13:03:475;1,66
14.03.2024 20:13:03:554;1,66
14.03.2024 20:13:03:632;1,66
14.03.2024 20:13:03:710;1,66
14.03.2024 20:13:03:788;1,66
14.03.2024 20:13:03:866;1,66
14.03.2024 20:13:03:944;1,66
14.03.2024 20:13:04:022;1,66
14.03.2024 20:13:04:101;1,66
14.03.2024 20:13:04:179;1,66
14.03.2024 20:13:04:413;1,66
14.03.2024 20:13:04:491;1,66
14.03.2024 20:13:04:570;1,66
14.03.2024 20:13:04:726;1,66
14.03.2024 20:13:04:804;1,66
14.03.2024 20:13:04:882;1,66
14.03.2024 20:13:04:960;1,66
14.03.2024 20:13:05:038;1,66
14.03.2024 20:13:05:117;1,66
14.03.2024 20:13:05:195;1,66
14.03.2024 20:13:05:351;1,66
14.03.2024 20:13:05:429;1,66
14.03.2024 20:13:05:507;1,66
14.03.2024 20:13:05:585;1,66
14.03.2024 20:13:06:054;1,66
14.03.2024 20:13:06:132;1,66
14.03.2024 20:13:06:211;1,66
14.03.2024 20:13:06:289;1,66
14.03.2024 20:13:06:367;1,66
14.03.2024 20:13:06:601;1,66
14.03.2024 20:13:06:680;1,66
14.03.2024 20:13:07:148;1,66
14.03.2024 20:13:07:227;1,66
14.03.2024 20:13:07:305;1,66
14.03.2024 20:13:07:383;1,66
14.03.2024 20:13:07:461;1,66
14.03.2024 20:13:08:008;1,66
14.03.2024 20:13:08:086;1,66
14.03.2024 20:13:08:164;1,66
