Дата Время;давление
14.03.2024 19:58:52:113;2,53
14.03.2024 19:58:52:191;2,51
14.03.2024 19:58:52:269;2,47
14.03.2024 19:58:52:348;2,46
14.03.2024 19:58:52:426;2,43
14.03.2024 19:58:52:504;2,41
14.03.2024 19:58:52:582;2,38
14.03.2024 19:58:52:660;2,35
14.03.2024 19:58:52:738;2,33
14.03.2024 19:58:52:816;2,31
14.03.2024 19:58:52:894;2,29
14.03.2024 19:58:52:973;2,27
14.03.2024 19:58:53:051;2,25
14.03.2024 19:58:53:129;2,22
14.03.2024 19:58:53:208;2,20
14.03.2024 19:58:53:285;2,18
14.03.2024 19:58:53:364;2,16
14.03.2024 19:58:53:442;2,14
14.03.2024 19:58:53:520;2,11
14.03.2024 19:58:53:598;2,10
14.03.2024 19:58:53:676;2,07
14.03.2024 19:58:53:754;2,06
14.03.2024 19:58:53:832;2,04
14.03.2024 19:58:53:910;2,02
14.03.2024 19:58:53:989;2,01
14.03.2024 19:58:54:067;1,99
14.03.2024 19:58:54:145;1,97
14.03.2024 19:58:54:223;1,96
14.03.2024 19:58:54:317;1,95
14.03.2024 19:58:54:395;1,93
14.03.2024 19:58:54:473;1,92
14.03.2024 19:58:54:552;1,90
14.03.2024 19:58:54:630;1,88
14.03.2024 19:58:54:708;1,87
14.03.2024 19:58:54:786;1,86
14.03.2024 19:58:54:864;1,85
14.03.2024 19:58:54:942;1,84
14.03.2024 19:58:55:020;1,82
14.03.2024 19:58:55:098;1,82
14.03.2024 19:58:55:177;1,81
14.03.2024 19:58:55:255;1,79
14.03.2024 19:58:55:333;1,79
14.03.2024 19:58:55:411;1,78
14.03.2024 19:58:55:489;1,77
14.03.2024 19:58:55:567;1,76
14.03.2024 19:58:55:646;1,75
14.03.2024 19:58:55:724;1,75
14.03.2024 19:58:55:802;1,74
14.03.2024 19:58:55:880;1,74
14.03.2024 19:58:55:958;1,73
14.03.2024 19:58:56:036;1,72
14.03.2024 19:58:56:192;1,71
14.03.2024 19:58:56:270;1,70
14.03.2024 19:58:56:348;1,70
14.03.2024 19:58:56:504;1,69
14.03.2024 19:58:56:583;1,69
14.03.2024 19:58:56:661;1,68
14.03.2024 19:58:56:739;1,68
14.03.2024 19:58:56:817;1,68
14.03.2024 19:58:56:895;1,67
14.03.2024 19:58:56:973;1,67
14.03.2024 19:58:57:052;1,67
14.03.2024 19:58:57:130;1,66
14.03.2024 19:58:57:208;1,66
14.03.2024 19:58:57:286;1,66
14.03.2024 19:58:57:364;1,66
14.03.2024 19:58:57:442;1,66
14.03.2024 19:58:57:521;1,66
14.03.2024 19:58:57:599;1,66
14.03.2024 19:58:57:677;1,66
14.03.2024 19:58:57:755;1,65
14.03.2024 19:58:57:833;1,65
14.03.2024 19:58:57:911;1,66
14.03.2024 19:58:58:067;1,65
14.03.2024 19:58:58:145;1,66
14.03.2024 19:58:58:299;1,66
14.03.2024 19:58:58:382;1,65
14.03.2024 19:58:58:460;1,66
14.03.2024 19:58:58:538;1,66
14.03.2024 19:58:58:617;1,66
14.03.2024 19:58:58:695;1,66
14.03.2024 19:58:58:773;1,66
14.03.2024 19:58:58:851;1,65
14.03.2024 19:58:58:929;1,66
14.03.2024 19:58:59:007;1,65
14.03.2024 19:58:59:085;1,66
14.03.2024 19:58:59:241;1,66
14.03.2024 19:58:59:319;1,66
14.03.2024 19:58:59:397;1,66
14.03.2024 19:58:59:475;1,66
14.03.2024 19:58:59:553;1,65
14.03.2024 19:58:59:632;1,66
14.03.2024 19:58:59:710;1,66
14.03.2024 19:58:59:788;1,64
14.03.2024 19:58:59:866;1,65
14.03.2024 19:58:59:944;1,65
14.03.2024 19:59:00:022;1,65
14.03.2024 19:59:00:100;1,65
14.03.2024 19:59:00:179;1,66
14.03.2024 19:59:00:257;1,65
14.03.2024 19:59:00:349;1,65
14.03.2024 19:59:00:428;1,65
14.03.2024 19:59:00:506;1,64
14.03.2024 19:59:00:584;1,65
14.03.2024 19:59:00:662;1,65
14.03.2024 19:59:00:740;1,65
14.03.2024 19:59:00:834;1,64
